"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"RI","","2007",3,24.52,,,"44","44",
"RI","Newport","2007",8,44.765,,,"44005","44","005"
"RI","Kent","2007",2,3.325,,,"44081","44","081"
"LA","Jefferson","2007",1,0.5,14.57,,"22059","22","059"
"CT","","2007",374,5075.82,8.9204812834224599,41093379.8,"09","09",
"CT","Tolland","2007",14,84.35,8.8006888363785714,710834.09,"09013","09","013"
"PA","Philadelphia","2007",1,3.4,9.1017647059,30946,"42101","42","101"
"WI","Outagamie","2007",5,11.06,11.1063362167,121803.75,"55087","55","087"
"WI","Pierce","2007",1,2.6,,,"55093","55","093"
"WI","Polk","2007",1,5.6,10.3571428571,58000,"55095","55","095"
"WI","Portage","2007",16,76.96,9.1163587025,668477.72,"55097","55","097"
"WI","Racine","2007",4,39.02,8.143645695125,317850,"55101","55","101"
"WI","Richland","2007",4,18.876,9.61502227955,171732,"55079","55","079"
"WI","Sauk","2007",3,24.2,10.1039753968,232324.86,"55111","55","111"
"LA","Orleans","2007",1,1,9.26,,"22019","22","019"
"RI","Providence","2007",4,12.8,,,"44007","44","007"
"LA","Iberia","2007",1,2.4,4.53,,"22045","22","045"
"CT","New London","2007",27,210.62,9.022768971537037,1675141.66,"09011","09","011"
"CT","New Haven","2007",32,266.075,9.13019563218125,2418685.86,"09009","09","009"
"CT","Litchfield","2007",22,114.975,8.9110838258863636,1017974.52,"09005","09","005"
"CT","Hartford","2007",28,130.873,9.0450573854928571,1171940.76,"09005","09","005"
"CA","San Francisco","2007",453,3892.27153365,8.7741189576732301,32382153.63,"06075","06","075"
"AR","Johnson","2007",1,1,,,"05071","05","071"
"AR","Lincoln","2007",1,2.86,7.34,21000,"05073","05","073"
"AR","Marion","2007",1,2.4,,,"05089","05","089"
"AR","Newton","2007",2,2.2,,,"05101","05","101"
"AR","Pulaski","2007",4,15.5,,,"05119","05","119"
"AR","Sebastian","2007",1,6.12,,,"05131","05","131"
"AR","Van Buren","2007",1,5,,,"05141","05","141"
"AZ","Apache","2007",3,6.03,11.6039194833,65330.05,"04001","04","001"
"AZ","Cochise","2007",13,13.7,13.2659131544538462,133265,"04003","04","003"
"AZ","Gila","2007",7,33.048,7.3353059221428571,237939.84,"04007","04","007"
"AZ","Graham","2007",17,21.116,8.0800490130294118,172998,"04075","04","075"
"AZ","La Paz","2007",6,22.84,9.3391969594166667,185092.57,"04012","04","012"
"AZ","Maricopa","2007",514,3452.784,7.0292760732513238,23245878.52,"04013","04","013"
"AZ","Mohave","2007",5,10.45,8.10933333334,88126,"04015","04","015"
"AZ","Navajo","2007",18,80.052,10.6556536958944444,822779.25,"04017","04","017"
"AZ","Pima","2007",19,66.69,8.0770730836333333,86179,"04019","04","019"
"AZ","Pinal","2007",19,93.29,6.8049275907375,558913.71,"04021","04","021"
"AZ","Yavapai","2007",61,191.763,9.1213712112459016,1533024.21,"04025","04","025"
"AZ","Yuma","2007",17,96.228,8.1506727560941176,793933.16,"04027","04","027"
"CA","Alameda","2007",1061,11748.99521952,8.238326890389763,88126963.95,"06001","06","001"
"CA","Amador","2007",50,475.87,7.666161871874,3688312.86,"06005","06","005"
"CA","Butte","2007",291,5003.0727585,7.6918627483363322,32726317.62,"06019","06","019"
"CA","Calaveras","2007",104,777.562,7.9274592128355769,6044365.89,"06009","06","009"
"CA","Colusa","2007",14,95.55,8.26112543405,761790,"06011","06","011"
"CA","Contra Costa","2007",1553,14690.70025633,8.2651193816992801,119410234.83989,"06013","06","013"
"CA","El Dorado","2007",320,2963.78728,8.1717973599733542,21094262.16,"06017","06","017"
"CA","Fresno","2007",1080,12447.94581267,7.5497512737082714,88604245.51,"06019","06","019"
"CA","Glenn","2007",16,328.206,8.28266018128125,2518849.93,"06021","06","021"
