"sfh_qty","th_qty","households","hhincome_below_10k","hhincome_10_below_15k","hhincome_15_below_25k","hhincome_25_below_35k","hhincome_35_below_50k","hhincome_50_below_75k","hhincome_75_below_100k","hhincome_100_below_150k","hhincome_150_below_200k","hhincome_above_200k","avg_rtl_price","dem_share","year_since_1990","count"
31285,1032,36435,3024,2368,5064,4117,5465,7032,4044,3571,984,802,10.31,0.44896434460016488046,24,1
31285,1032,36435,3024,2368,5064,4117,5465,7032,4044,3571,984,802,10.31,0.44896434460016488046,22.25,1
31285,1032,36435,3024,2368,5064,4117,5465,7032,4044,3571,984,802,10.31,0.44896434460016488046,21.25,1
31285,1032,36435,3024,2368,5064,4117,5465,7032,4044,3571,984,802,10.31,0.44896434460016488046,20,1
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,26,83
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,25.75,34
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,25.5,37
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,25.25,17
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,25,17
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,24.75,11
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,24.5,14
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,24.25,2
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,24,27
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,23.75,10
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,23.5,11
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,23.25,2
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,23,22
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,22.75,6
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,22.5,6
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,22.25,6
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,22,6
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,21.75,9
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,21.5,8
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,21.25,7
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,21,9
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,20.75,3
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,20.5,1
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,20.25,5
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,20,5
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,19.75,6
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,19.5,5
204398,18020,299764,23681,15588,31775,30876,41367,52758,38070,39869,14389,11691,15.28,0.57778101480941976208,19.25,3
