geo_id2,sfh_qty,th_qty,households,hhincome_75_below_100k,hhincome_100_below_150k,hhincome_150_below_200k,hhincome_above_200k,dm_share * (sfh + th),exp(interconn) * (sfh + th),exp(net_metering) * (sfh + th),exp(grid_to_panel) * (sfh + th),latitude,count
41017,60602,2940,66337,8425,8358,2189,2587,28706,172725,172725,127602,43.92,1
41003,21747,1434,33840,4365,4332,1929,1286,14487,63012,63012,46551,44.49,1
41031,6615,103,7692,923,592,131,77,2727,18261,18261,13491,44.64,1
41039,98806,8055,146235,16378,14331,4387,3363,64236,290478,290478,214592,43.93,2
41053,20918,1053,28458,3756,3899,1081,569,10186,59723,59723,44121,44.9,1
41039,98806,8055,146235,16378,14331,4387,3363,64236,290478,290478,219705,43.93,2
41039,98806,8055,146235,16378,14331,4387,3363,64236,290478,290478,237780,43.93,1
41051,184793,14778,310669,38834,41630,14601,16465,151277,542490,542490,444072,45.55,1
41031,6615,103,7692,923,592,131,77,2727,18261,18261,14948,44.64,1
41017,60602,2940,66337,8425,8358,2189,2587,28706,172725,172725,141389,43.92,1
41037,2785,43,3526,205,279,46,7,592,7687,7687,6293,42.79,1
41033,26621,1155,34527,3522,2175,518,794,10451,75503,75503,63313,42.39,1
41035,22356,1427,27188,2692,2365,625,381,7032,64649,64649,54211,42.68,2
41009,15043,380,18785,2423,2649,733,338,7840,41924,41924,35155,45.94,1
41033,26621,1155,34527,3522,2175,518,794,10451,75503,75503,63811,42.39,1
41035,22356,1427,27188,2692,2365,625,381,7032,64649,64649,54637,42.68,2
41023,3021,57,3149,359,265,38,28,679,8367,8367,7071,44.5,1
41061,7613,322,10130,1347,750,223,284,2628,21570,21570,18229,45.3,1
41037,2785,43,3526,205,279,46,7,592,7687,7687,6497,42.79,1
41013,7499,168,9079,881,763,173,82,2337,20841,20841,17614,44.16,3
41017,60602,2940,66337,8425,8358,2189,2587,28706,172725,172725,145977,43.92,2
41029,58380,4765,83487,9017,8015,2338,1837,29075,171646,171646,145065,42.41,3
41031,6615,103,7692,923,592,131,77,2727,18261,18261,15433,44.64,5
41013,7499,168,9079,881,763,173,82,2337,20841,20841,17929,44.16,1
41031,6615,103,7692,923,592,131,77,2727,18261,18261,15710,44.64,1
41037,2785,43,3526,205,279,46,7,592,7687,7687,6613,42.79,1
41029,58380,4765,83487,9017,8015,2338,1837,29075,171646,171646,147665,42.41,1
41005,109940,6394,149522,20933,24821,9270,9868,58939,316229,316229,272048,45.16,1
41035,22356,1427,27188,2692,2365,625,381,7032,64649,64649,56903,42.68,1
41031,6615,103,7692,923,592,131,77,2727,18261,18261,16074,44.64,1
41023,3021,57,3149,359,265,38,28,679,8367,8367,7364,44.5,1
41017,60602,2940,66337,8425,8358,2189,2587,28706,172725,172725,152031,43.92,1
41029,58380,4765,83487,9017,8015,2338,1837,29075,171646,171646,151081,42.41,1
41039,98806,8055,146235,16378,14331,4387,3363,64236,290478,290478,255676,43.93,1
41015,7442,585,10454,899,993,240,94,3210,21820,21820,19290,42.47,1
41061,7613,322,10130,1347,750,223,284,2628,21570,21570,19068,45.3,2
41017,60602,2940,66337,8425,8358,2189,2587,28706,172725,172725,152697,43.92,3
41033,26621,1155,34527,3522,2175,518,794,10451,75503,75503,66748,42.39,2
41013,7499,168,9079,881,763,173,82,2337,20841,20841,18424,44.16,2
41031,6615,103,7692,923,592,131,77,2727,18261,18261,16144,44.64,2
41029,58380,4765,83487,9017,8015,2338,1837,29075,171646,171646,151743,42.41,2
41035,22356,1427,27188,2692,2365,625,381,7032,64649,64649,57153,42.68,1
41063,2922,91,3082,345,268,68,34,909,8190,8190,7241,45.59,1
41027,6786,132,8189,1335,876,336,336,4280,18805,18805,16625,45.51,2
