"sfh_qty","th_qty","households","hhincome_100_below_150k","hhincome_150_below_200k","hhincome_above_200k","avg_rtl_price","net_summer_capacity_mw","year_since_1990","rounded_price_per_watt","interconn","net_metering","count"
31285,1032,36435,3571,984,802,10.31,42344,24,4.59,2,1,1
31285,1032,36435,3571,984,802,10.31,42344,22.25,6.02,2,1,1
31285,1032,36435,3571,984,802,10.31,42344,21.25,6.48,2,1,1
31285,1032,36435,3571,984,802,10.31,42344,20,7.52,2,1,1
204398,18020,299764,39869,14389,11691,15.28,40249,26,4.21,2,1,83
204398,18020,299764,39869,14389,11691,15.28,40249,25.75,4.26,2,1,34
204398,18020,299764,39869,14389,11691,15.28,40249,25.5,4.18,2,1,37
204398,18020,299764,39869,14389,11691,15.28,40249,25.25,4.18,2,1,17
204398,18020,299764,39869,14389,11691,15.28,40249,25,4.4,2,1,17
204398,18020,299764,39869,14389,11691,15.28,40249,24.75,4.45,2,1,11
204398,18020,299764,39869,14389,11691,15.28,40249,24.5,4.56,2,1,14
204398,18020,299764,39869,14389,11691,15.28,40249,24.25,4.6,2,1,2
204398,18020,299764,39869,14389,11691,15.28,40249,24,4.59,2,1,27
204398,18020,299764,39869,14389,11691,15.28,40249,23.75,4.7,2,1,10
204398,18020,299764,39869,14389,11691,15.28,40249,23.5,4.8,2,1,11
204398,18020,299764,39869,14389,11691,15.28,40249,23.25,4.93,2,1,2
204398,18020,299764,39869,14389,11691,15.28,40249,23,5.14,2,1,22
204398,18020,299764,39869,14389,11691,15.28,40249,22.75,5.4,2,1,6
204398,18020,299764,39869,14389,11691,15.28,40249,22.5,5.67,2,1,6
204398,18020,299764,39869,14389,11691,15.28,40249,22.25,6.02,2,1,6
204398,18020,299764,39869,14389,11691,15.28,40249,22,6.2,2,1,6
204398,18020,299764,39869,14389,11691,15.28,40249,21.75,6.32,2,1,9
204398,18020,299764,39869,14389,11691,15.28,40249,21.5,6.48,2,1,8
204398,18020,299764,39869,14389,11691,15.28,40249,21.25,6.48,2,1,7
204398,18020,299764,39869,14389,11691,15.28,40249,21,6.56,2,1,9
204398,18020,299764,39869,14389,11691,15.28,40249,20.75,6.8,2,1,3
204398,18020,299764,39869,14389,11691,15.28,40249,20.5,7.01,2,1,1
204398,18020,299764,39869,14389,11691,15.28,40249,20.25,7.41,2,1,5
