"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"RI","","2010",3,13.375,,,"44","44",
"RI","Newport","2010",5,30.3,,,"44005","44","005"
"RI","Bristol","2010",3,13,,,"44005","44","005"
"LA","Jefferson","2010",1,2.52,6.75,17000,"22059","22","059"
"CT","","2010",1050,11130.7,7.29322265625,78234533.68,"09","09",
"CT","Tolland","2010",39,282.655,7.4232567183111111,1856676.4,"09013","09","013"
"PA","Philadelphia","2010",141,1290.203,7.3134333835163121,8246487.24,"42101","42","101"
"WI","Oneida","2010",3,8.56,8.6128680555666667,70913.3,"55085","55","085"
"WI","Outagamie","2010",16,173.192,7.53738106841875,1289839.22,"55087","55","087"
"WI","Ozaukee","2010",8,70.14,7.4132040513875,464384,"55089","55","089"
"WI","Pepin","2010",1,2.96,10.78,31900.37,"55091","55","091"
"WI","Pierce","2010",9,51.81,8.5356048471222222,411832.06,"55093","55","093"
"WI","Polk","2010",1,1.6,3.38,5400,"55095","55","095"
"MO","St. Louis City","2010",1,1.8,,,"29189","29","189"
"WI","Portage","2010",26,237.892,7.05802685785,1629500.32,"55097","55","097"
"WI","Price","2010",1,5.64,7.27,41003.82,"55099","55","099"
"WI","Racine","2010",9,133.75,7.3797529778666667,871706,"55101","55","101"
"WI","Richland","2010",6,43.702,7.8516666666666667,337856.16,"55079","55","079"
"WI","Rock","2010",20,150.942,7.72523134359,1121895.93,"55105","55","105"
"WI","Sauk","2010",10,161.515,7.75652463488,1197044.03,"55111","55","111"
"LA","St. Charles","2010",1,13.05,6.21,81000,"22183","22","183"
"LA","Vermilion","2010",1,24.42,,,"22183","22","183"
"RI","Providence","2010",3,13.3,,,"44007","44","007"
"LA","Morehouse","2010",1,105.6,5.4,570000,"22067","22","067"
"LA","St. Landry","2010",1,10.08,9.24,,"22097","22","097"
"CT","New London","2010",55,458.475,7.1048578715111111,3088789.17,"09011","09","011"
"CT","New Haven","2010",96,1003.46,7.64487211646,7653705.1,"09009","09","009"
"CT","Litchfield","2010",69,739.997,7.0417271170060606,4723107,"09005","09","005"
"CT","Hartford","2010",94,906.395,7.2887424671944444,6512015.6,"09005","09","005"
"CO","Denver","2010",13,60.04,7.775,21974,"08031","08","031"
